title,author,calling,month,year,filename
Pillars and Rays,Alexander Dushku,Of the Seventy,4,2024,Pillars_and_Rays.txt
Motions of a Hidden Fire,Jeffrey R. Holland,Acting President of the Quorum of the Twelve Apostles,4,2024,Motions_of_a_Hidden_Fire.txt
